,KEM_neutral,KEM_angry,KEM_happy,KEM_surprise,KEM_sad,KEM_fear,KEM_disgust,f_neutral,f_angry,f_happy,f_surprise,f_sad,f_fear,f_disgust,TRUE
1-7.mp4,0.8697,0.0173,0.0426,0.0139,0.0168,0.0165,0.0231,0.051,0.436,0.048,0.019,0.298,0.073,0.075,neutral
1-8.mp4,0.2443,0.0348,0.5532,0.0502,0.0415,0.036,0.0399,0.082,0.153,0.02,0.253,0.203,0.207,0.082,fear
1-9.mp4,0.0337,0.0111,0.9052,0.0128,0.012,0.0135,0.0117,0.048,0.119,0.067,0.029,0.45,0.223,0.063,sad
2-7.mp4,0.8728,0.0324,0.0108,0.0191,0.0182,0.0178,0.0288,0.081,0.127,0.115,0.025,0.393,0.102,0.156,disgust
2-8.mp4,0.9723,0.0038,0.0035,0.0052,0.0048,0.0043,0.006,0.073,0.12,0.412,0.043,0.142,0.08,0.13,happy
2-9.mp4,0.0593,0.0145,0.8608,0.0192,0.0127,0.0157,0.0178,0.195,0.033,0.065,0.281,0.24,0.141,0.045,surprise
3-7.mp4,0.0117,0.0215,0.0125,0.8876,0.0117,0.0334,0.0217,0.097,0.032,0.049,0.044,0.168,0.097,0.513,angry
3-8.mp4,0.004,0.0052,0.9747,0.0043,0.0047,0.0042,0.003,0.057,0.08,0.139,0.048,0.141,0.075,0.46,happy
3-9_S.mp4,0.3097,0.3854,0.0319,0.1125,0.045,0.042,0.0735,0.08,0.05,0.047,0.066,0.187,0.125,0.445,disgust
